key1,key2,DEFINED_FOR_INTENSITY_MEASURE_COMPONENT,DEFINED_FOR_INTENSITY_MEASURE_TYPES,DEFINED_FOR_REFERENCE_VELOCITY,DEFINED_FOR_STANDARD_DEVIATION_TYPES,DEFINED_FOR_TECTONIC_REGION_TYPE,REQUIRES_ATTRIBUTES,REQUIRES_DISTANCES,REQUIRES_RUPTURE_PARAMETERS,REQUIRES_SITES_PARAMETERS,__doc__,__init__,DEFINED_FOR_REFERENCE_VELOCITy,REQUIRES_IMTS
openquake.hazardlib.gsim.arteta_2021,ArtetaEtAl2021SlabVs30,Average Horizontal (RotD50),"['SA', 'PGA']",,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],['rhypo'],['mag'],['backarc'],"
    Implements the model of Arteta et al (2021) as described in ""Ground-motion
    model for subduction earthquakes in northern South America"" by Arteta et
    al. (2021) - Earthquake Spectra, https://doi.org/10.1177/87552930211027585

    Soil term is associated with Vs30 using the simplification given in terms
    of natural period of HVRSR and mean value of P*
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.atkinson_boore_2003,AtkinsonBoore2003SSlab,Random horizontal,"['SA', 'PGA']",800.0,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],['rrup'],"['hypo_depth', 'mag']",['vs30'],"
    Implements GMPE developed by G. M  Atkinson and D. Boore and published as
    ""Empirical Ground-Motion Relations for Subduction-Zone Earthquakes and
    Their Application to Cascadia and Other Regions"" (Bulletin of the
    Seismological Society of America, Volume 93, Number 4, pages 1703-1929,
    2003). The class implements the global model but not the corrections for
    Japan/Cascadia. SA values at 4 s (not supported by the original equations)
    are obtained from mean value at 3 s divided by a factor equal to 0.550
    (scaling factor computed in the context of the SHARE project and obtained
    as average ratio between median values at 4 and 3 seconds as predicted by
    SHARE subduction GMPEs). The class implements the equations for 'Subduction
    IntraSlab' (that's why the class name ends with 'SSlab').
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.atkinson_boore_2003,AtkinsonBoore2003SSlabCascadia,Random horizontal,"['SA', 'PGA']",800.0,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],['rrup'],"['hypo_depth', 'mag']",['vs30'],"
    Extends :class:`AtkinsonBoore2003SSlab` but uses coefficients for
    Cascadia region

    The class replicates the equation as coded in ``subroutine getABsub``
    in ``hazgridXnga2.f`` Fortran code available at:
    http://earthquake.usgs.gov/hazards/products/conterminous/2008/software/
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.atkinson_boore_2003,AtkinsonBoore2003SSlabCascadiaNSHMP2008,Random horizontal,"['SA', 'PGA']",800.0,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],['rrup'],"['hypo_depth', 'mag']",['vs30'],"
    Combines :class:`AtkinsonBoore2003SSlabNSHMP2008` for NSHMP site
    amplification with :class:`AtkinsonBoore2003SSlabCascadia` for Cascadia.
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.atkinson_boore_2003,AtkinsonBoore2003SSlabJapan,Random horizontal,"['SA', 'PGA']",800.0,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],['rrup'],"['hypo_depth', 'mag']",['vs30'],"
    Extends :class:`AtkinsonBoore2003SSlab` but substitutes values for c1 from
    Table 3 which incorporate correction factors for Japan.
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.atkinson_boore_2003,AtkinsonBoore2003SSlabJapanNSHMP2008,Random horizontal,"['SA', 'PGA']",800.0,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],['rrup'],"['hypo_depth', 'mag']",['vs30'],"
    Combines :class:`AtkinsonBoore2003SSlabNSHMP2008` for NSHMP site
    amplification with :class:`AtkinsonBoore2003SSlabJapan` for Japan.

    Validation test vector was generated by applying increments in columns 1
    and 2 of Table 3 to test vector for
    AtkinsonBoore2003SSlabCascadiaNSHMP2008.
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.atkinson_boore_2003,AtkinsonBoore2003SSlabNSHMP2008,Random horizontal,"['SA', 'PGA']",800.0,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],['rrup'],"['hypo_depth', 'mag']",['vs30'],"
    Extend :class:`AtkinsonBoore2003SSlab` and introduces site amplification
    for B/C site condition as defined by the National Seismic Hazard Mapping
    Project (NSHMP) for the 2008 US hazard model.

    Site amplification for B/C is triggered when vs30 > 760 and it is
    computed as site amplification for C soil scaled by a factor equal to 0.5

    The class replicates the equation as coded in ``subroutine getABsub``
    in ``hazgridXnga2.f`` Fortran code available at:
    http://earthquake.usgs.gov/hazards/products/conterminous/2008/software/
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.bahrampouri_2021,BahrampouriEtAl2021SSlab,Average Horizontal,['IA'],,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],['rrup'],"['ztor', 'hypo_lon', 'mag', 'hypo_lat']","['lat', 'lon', 'vs30']","
    Implements GMPE by Mahdi Bahrampouri, Adrian Rodriguez-Marek and Russell A
    Green developed from the Kiban-Kyoshin network (KiK)-net database. This
    GMPE is specifically derived for arias intensity. This GMPE is described in
    a paper published in 2021 on Earthquake Spectra, Volume 37, Pg 428-448 and
    titled 'Ground motion prediction equations for Arias Intensity using the
    Kik-net database'.
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.chao_2020,ChaoEtAl2020SSlab,Average Horizontal,"['PGV', 'PGD', 'PGA', 'SA']",1180.0,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,"['aftershocks', 'manila', 'geology']",['rrup'],"['ztor', 'mag']","['vs30', 'vs30measured', 'z1pt0']","
    Chao et al. (2020) for Subduction Slab.
    ","{'self': None, 'manila': False, 'aftershocks': False, 'geology': True}",,
openquake.hazardlib.gsim.dowrickrhoades_2005,DowrickRhoades2005SSlab,Horizontal,['MMI'],,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],['rrup'],"['rake', 'hypo_depth', 'mag']",['vs30'],"
    Implements IPE developed by D.J. Dowrick and D.A. Rhoades  published as
    ""Revised models for attenuation of Modified Mercalli Intensity in
    New Zealand earthquakes"",
    Bulletin of the New Zealand Society for Earthquake Engineering, v.38,
    no. 4, p. 185-214, December 2005.

    URL: http://www.nzsee.org.nz/db/Bulletin/Archive/38(4)0185.pdf
    Last accessed 20 November 2015.

    This class implements the IPE for Subduction Slab events
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.garcia_2005,GarciaEtAl2005SSlab,Average Horizontal,"['PGV', 'PGA', 'SA']",,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],"['rhypo', 'rrup']","['hypo_depth', 'mag']",['vs30'],"
    Implements GMPE developed by Garcia, D., Singh, S. K., Harraiz, M,
    Ordaz, M., and Pacheco, J. F. and published in BSSA as:

    ""Inslab earthquakes of Central Mexico: Peak ground-motion parameters and
    response spectra"", vol. 95, No. 6, pp. 2272-2282.""

    The original formulation predict peak ground acceleration (PGA), in
    cm/s*s, peak ground velocity PGV (cm/s) and 5% damped pseudo-acceleration
    response spectra (PSA) in cm/s*s for the geometric average of the
    maximum component of the two horizontal component of ground motion (see
    last paragraph of Summary in pag. 2272

    The GMPE predicted values for Mexican inslab events and NEHRP B site
    condition.
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.garcia_2005,GarciaEtAl2005SSlabVert,Average Horizontal,"['PGV', 'PGA', 'SA']",,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],"['rhypo', 'rrup']","['hypo_depth', 'mag']",['vs30'],"
    Extend :class:`GarciaEtAl2005SSlab`

    Implements GMPE developed by Garcia, D., Singh, S. K., Harraiz, M,
    Ordaz, M., and Pacheco, J. F. and published in BSSA as:

    ""Inslab earthquakes of Central Mexico: Peak ground-motion parameters and r
    esponse spectra"", vol. 95, No. 6, pp. 2272-2282.""

    The original formulation predict peak ground acceleration (PGA), in
    cm/s*s, peak ground velocity PGV (cm/s) and 5% damped pseudo-acceleration
    response spectra (PSA) in cm/s*s for the vertical component of ground
    motion (see last paragraph of Summary in pag. 2272

    The GMPE predicted values for Mexican inslab events and NEHRP B site
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.geomatrix_1993,Geomatrix1993SSlabNSHMP2008,Average Horizontal,"['SA', 'PGA']",760.0,['Total'],Subduction IntraSlab,[],['rrup'],"['ztor', 'mag']",[],"
    Implements GMPE for subduction intraslab events developed by Geomatrix
    Consultants, Inc., 1993, ""Seismic margin earthquake for the Trojan site:
    Final unpublished report prepared for Portland General Electric Trojan
    Nuclear Plant"", Ranier, Oregon.

    This class implements the equation as coded in the subroutine ``getGeom``
    in the ``hazgridXnga2.f`` Fortran code available at:
    http://earthquake.usgs.gov/hazards/products/conterminous/2008/software/

    Coefficients are given for the B/C site conditions.
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.gupta_2010,AtkinsonBoore2003SSlab,Random horizontal,"['SA', 'PGA']",800.0,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],['rrup'],"['hypo_depth', 'mag']",['vs30'],"
    Implements GMPE developed by G. M  Atkinson and D. Boore and published as
    ""Empirical Ground-Motion Relations for Subduction-Zone Earthquakes and
    Their Application to Cascadia and Other Regions"" (Bulletin of the
    Seismological Society of America, Volume 93, Number 4, pages 1703-1929,
    2003). The class implements the global model but not the corrections for
    Japan/Cascadia. SA values at 4 s (not supported by the original equations)
    are obtained from mean value at 3 s divided by a factor equal to 0.550
    (scaling factor computed in the context of the SHARE project and obtained
    as average ratio between median values at 4 and 3 seconds as predicted by
    SHARE subduction GMPEs). The class implements the equations for 'Subduction
    IntraSlab' (that's why the class name ends with 'SSlab').
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.gupta_2010,Gupta2010SSlab,Average Horizontal,"['SA', 'PGA']",800.0,['Total'],Subduction IntraSlab,[],['rrup'],"['hypo_depth', 'mag']",['vs30'],"
    Implements GMPE of Gupta (2010) for Indo-Burmese intraslab subduction.

    This model is closely related to the model of Atkinson & Boore (2003).
    In particular the functional form and coefficients ``C2``-``C7`` of
    Gupta (2010) are adopted from Atkinson & Boore (2003). The only
    substantive changes are a) the horizontal component modeled is different
    (as noted below) b) a coefficient ``C8`` and a dummy variable ``v``
    are added to model vertical motion and c) the coefficient ``C1`` is
    recalculated based on a database of ""a total of 56 three-component
    accelerograms at 37 different sites from three in-slab earthquakes
    along the Indo-Burmese subduction zone"" (p 370).

    Equation (2) p. 373 gives the form of the equation which was fitted:

    ``log Y - C2*M - C3*h - C4*R + g log R = C1 + C8*v + sigma``

    The left-hand side of this equation was computed using event parameters
    and the coefficients of Atkinson & Boore (2003).  The regression
    coefficients C1 and C8 on the right-hand side were slightly smoothed
    after fitting. Note that since ""v=0 for horizontal and 1 for vertical
    motion"", and since the current implementation only models horizontal
    motion, we can subclass directly from
    :class:`openquake.hazardlib.gsim.atkinson_boore_2003.AtkinsonBoore2003SSlab`,
    modifying only the metadata constants and regression coefficients.

    Page number citations in this documentation refer to Gupta (2010).

    **References**

    Gupta, I. (2010). Response spectral attenuation relations for in-slab
    earthquakes in Indo-Burmese subduction zone. *Soil Dyn. Earthq. Eng.*,
    30(5):368–377.

    Atkinson, G. M. and Boore, D. M. (2003). Empirical ground-motion relations
    for subduction-zone earthquakes and their application to Cascadia and other
    regions. *Bull. Seism. Soc. Am.*, 93(4):1703–1729.
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.hassani_atkinson_2020,HassaniAtkinson2020SSlab,Average Horizontal,"['PGV', 'PGA', 'SA']",,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,"['kappa', 'forearc_ne', 'forearc_sw', 'backarc']",['rrup'],"['hypo_depth', 'mag']","['z2pt5', 'f0', 'vs30']","
    Hassani Atkinson (2020) for Subduction IntraSlab.
    ","{'self': None, 'kappa': 0.04, 'backarc': 0, 'forearc_ne': 1, 'forearc_sw': 0}",,
openquake.hazardlib.gsim.idini_2017,IdiniEtAl2017SSlab,Average Horizontal,"['SA', 'PGA']",,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],"['rhypo', 'rrup']","['hypo_depth', 'mag']","['soiltype', 'vs30']","
    Implements the GMPE developed by Idini et al. (2017) for subduction
    inslab (intraslab) earthquakes, publised as:

    Idini, B., F. Rojas, S. Ruiz, and C. Pastén. 2017. “Ground motion
    prediction equations for the Chilean subduction zone.” Bull. Earthq. Eng.
    15(5): 1853–1880.
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.jaimes_2020,JaimesEtAl2020SSlab,Average Horizontal,"['PGV', 'PGA', 'SA']",,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],"['rhypo', 'rrup']","['hypo_depth', 'mag']",['vs30'],"
    Implements GMPE developed by Jaimes et al. (2020) for Mexican 
    intermediate-depth intraslab earthquake and published as:

    Jaimes M. A., García-Soto A. D. (2020) ""Updated ground motion prediction
    model for Mexican intermediate-depth intraslab earthquakes including V/H
    ratios"" Earthq. Spectra, 36(3):1298-1330. doi:10.1177/8755293019899947.

    The original formulation predict peak ground acceleration, PGA (cm/s**2),
    peak ground velocity, PGV (cm/s), and 5% damped pseudo-acceleration
    response spectra, PSA (cm/s**2), for the quadratic mean of the two 
    horizontal component of ground motion (see the 'Regression Analysis' 
    section on page 1304).
    
    The GMPE predicted values for Mexican intraslab events at rock sites
    (NEHRP B site condition).
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.jaimes_2020,JaimesEtAl2020SSlabVHratio,Vertical-to-Horizontal Ratio,"['PGV', 'PGA', 'SA']",,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],"['rhypo', 'rrup']","['hypo_depth', 'mag']",['vs30'],"
    Extend :class:'JaimesEtAl2020SSlab'

    Implements GMPE developed by Jaimes et al. (2020) for Mexican 
    intermediate-depth intraslab earthquake and published as:

    Jaimes M. A., García-Soto A. D. (2020) ""Updated ground motion prediction
    model for Mexican intermediate-depth intraslab earthquakes including V/H
    ratios"" Earthq. Spectra, 36(3):1298-1330. doi:10.1177/8755293019899947.

    The original formulation predict peak ground acceleration, PGA (cm/s**2),
    peak ground velocity, PGV (cm/s), and 5% damped pseudo-acceleration
    response spectra, PSA (cm/s**2), for the V/H ratio (see the 'Regression 
    Analysis' section on page 1304).
    
    The GMPE predicted values for Mexican intraslab events at rock 
    sites (NEHRP B site condition).
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.jaimes_2020,JaimesEtAl2020SSlabVert,Vertical,"['PGV', 'PGA', 'SA']",,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],"['rhypo', 'rrup']","['hypo_depth', 'mag']",['vs30'],"
    Extend :class:'JaimesEtAl2020SSlab'

    Implements GMPE developed by Jaimes et al. (2020) for Mexican
    intermediate-depth intraslab earthquake and published as:

    Jaimes M. A., García-Soto A. D. (2020) ""Updated ground motion prediction
    model for Mexican intermediate-depth intraslab earthquakes including V/H
    ratios"" Earthq. Spectra, 36(3):1298-1330. doi:10.1177/8755293019899947.

    The original formulation predict peak ground acceleration, PGA (cm/s**2),
    peak ground velocity, PGV (cm/s), and 5% damped pseudo-acceleration
    response spectra, PSA (cm/s**2), for the vertical component of ground
    motion (see the 'Regression Analysis' section on page 1304).

    The GMPE predicted values for Mexican intraslab events at rock
    sites (NEHRP B site condition).
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.kanno_2006,Kanno2006Deep,Peak square root of sum of squares of horizontals,"['PGV', 'PGA', 'SA']",800.0,['Total'],Subduction IntraSlab,[],['rrup'],['mag'],['vs30'],"
    Implements GMPE of Kanno et al. (2006) for deep events based on data
    predominantly from Japan.

    Deep events are defined as having ""(focal depth of more than 30 km)""
    (p. 895).
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.kuehn_2020,KuehnEtAl2020SSlab,Average Horizontal (RotD50),"['PGV', 'PGA', 'SA']",1100.0,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,"['region', 'sigma_mu_epsilon', 'm_b', 'usgs_basin_scaling', 'm9_basin_term']",['rrup'],"['ztor', 'mag']",['vs30'],"
    Implements NGA Subduction model of Kuehn et al. (2020) for Intraslab events

    This class implements the global model.
    Adjustments with respect to the interface model are:

    - different constant
    - different magnitude scaling coefficent
    - different geometrical spreading coefficient
    - no magnitude break adjustment at long periods
    - different depth scaling and adjustment to break point
    - different depth centering and break point
    - different default magnitude break point
    ","{'self': None, 'region': 'GLO', 'm_b': None, 'm9_basin_term': None, 'usgs_basin_scaling': False, 'sigma_mu_epsilon': 0.0}",,
openquake.hazardlib.gsim.lin_lee_2008,LinLee2008SSlab,Average Horizontal,"['SA', 'PGA']",800.0,['Total'],Subduction IntraSlab,[],['rhypo'],"['hypo_depth', 'mag']",['vs30'],"
    Implements GMPE developed by Po-Shen Lin and Chyi-Tyi Lee and published as
    ""Ground-Motion Attenuation Relationships for Subduction-Zone Earthquakes
    in Northeastern Taiwan"" (Bulletin of the Seismological Society of America,
    Volume 98, Number 1, pages 220-240, 2008).
    This class implements the equations for 'Subduction IntraSlab' (that's why
    the class name ends with 'SSlab').
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.macedo_2019,MacedoEtAl2019SSlab,Average Horizontal (RotD50),"['IA', 'PGA', 'SA']",,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],['rrup'],['mag'],"['vs30', 'backarc']","
    Macedo et al. (2019) GMPE for application to subduction in-slab earthquakes
    ","{'self': None, 'region': 'Global', 'rho_pga_sa1': 0.52, 'gmpe_dict': None}",,"[PGA, SA(1.0)]"
openquake.hazardlib.gsim.manea_2021,ManeaEtAl2021,Average Horizontal,"['SA', 'PGA']",,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],['rhypo'],"['hypo_depth', 'mag']","['f0', 'vs30', 'backarc']","
    Implements the Subduction GMPE developed by Elena Florinela Manea,
    Carmen Ortanza Cioflan and Laurentiu Danciu, otherwise known as the
    ""Ground-motion models for Vrancea intermediate-depth earthquakes
    (Earthquake Spectra,2021,87552930211032985), for subduction inslab events.
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.mcverry_2006,McVerry2006SSlab,Greater of two horizontal,"['SA', 'PGA']",,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],['rrup'],"['rake', 'hypo_depth', 'mag']",['vs30'],"
    Extend :class:`McVerry2006Asc` for Subduction Intraslab events (SSlab)

    Implements GMPE developed by G. McVerry, J. Zhao, N.A. Abrahamson,
    P. Somerville published as ""New Zealand Acceleration Response Spectrum
    Attenuation Relations for Crustal and Subduction Zone Earthquakes"",
    Bulletin of the New Zealand Society for Earthquake Engineering, v.39,
    no. 1, p. 1-58, March 2006.

    URL: http://www.nzsee.org.nz/db/Bulletin/Archive/39(1)0001.pdf
    Last accessed 10 September 2014.

    This class implements the GMPE for Subduction Intraslab
    earthquakes (SSlab suffix).

    The GMPE distinguishes between rock (vs30 >= 760) and deep soil
    (vs30 < 760) which equation to the New Zealand site class A and B (rock)
    and C,D and E (soil).
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.mcverry_2006,McVerry2006SSlabSC,Greater of two horizontal,"['SA', 'PGA']",,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],['rrup'],"['rake', 'hypo_depth', 'mag']",['siteclass'],"
    Extend :class:`McVerry2006AscSC` for Subduction Intraslab events (SSlab)

    Identical to class McVerry2006SSlab, except the site term is defined in
    terms of siteclass instead of Vs30.

    Implements GMPE developed by G. McVerry, J. Zhao, N.A. Abrahamson,
    P. Somerville published as ""New Zealand Acceleration Response Spectrum
    Attenuation Relations for Crustal and Subduction Zone Earthquakes"",
    Bulletin of the New Zealand Society for Earthquake Engineering, v.39,
    no. 1, p. 1-58, March 2006.

    URL: http://www.nzsee.org.nz/db/Bulletin/Archive/39(1)0001.pdf
    Last accessed 10 September 2014.
    ","{'self': None, 'kwargs': None}",,
openquake.hazardlib.gsim.montalva_2016,AbrahamsonEtAl2015SSlab,Average Horizontal,"['SA', 'PGA']",1000.0,"['Inter event', 'Total', 'Intra event']",Subduction IntraSlab,[],['rhypo'],"['hypo_depth', 'mag']","['vs30', 'backarc']","
    Implements the Subduction GMPE developed by Norman Abrahamson, Nicholas
    Gregor and Kofi Addo, otherwise known as the ""BC Hydro"" Model, published
    as ""BC Hydro Ground Motion Prediction Equations For Subduction Earthquakes
    (2013, Earthquake Spectra, in press).
    This implements only the inslab GMPE. For inslab events the source is
    considered to be a point source located at the hypocentre. Therefore
    the hypocentral distance metric is used in place of the rupture distance,
    and the hypocentral depth is used to scale the ground motion by depth
    ","{'self': None, 'ergodic': True, 'theta6_adjustment': 0, 'sigma_mu_epsilon': 0.0, 'faba_taper_model': 'Step', 'faba_args': None}",,
